City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,Banda Aceh,ID,2021-11-25 21:09:37,5.5577,95.3222,77.74,84,100,4.34
193,Abonnema,NG,2021-11-25 21:09:37,4.7084,6.7931,78.04,87,12,5.55
194,Qaanaaq,GL,2021-11-25 21:00:59,77.484,-69.3632,-3.17,70,100,6.13
195,Sao Joao Da Barra,BR,2021-11-25 21:02:34,-21.6403,-41.0511,73.71,77,3,9.53
196,Donskoye,RU,2021-11-25 21:09:38,45.4552,41.9741,32.13,83,3,8.99
197,Maniitsoq,GL,2021-11-25 21:01:10,65.4167,-52.9,24.4,71,100,12.12
198,Belmonte,BR,2021-11-25 21:09:39,-15.8631,-38.8828,75.7,78,64,9.89
199,Porangatu,BR,2021-11-25 21:09:39,-13.4408,-49.1486,80.74,66,100,2.33
200,Neuquen,AR,2021-11-25 21:09:39,-38.9516,-68.0591,84.15,16,3,23.4
201,Tuktoyaktuk,CA,2021-11-25 21:03:31,69.4541,-133.0374,-1.82,95,100,15.86
202,Namuac,PH,2021-11-25 21:09:40,18.6109,121.1657,77.02,91,95,14.47
203,Beringovskiy,RU,2021-11-25 21:07:34,63.05,179.3167,-4.72,91,100,10.49
204,Kodiak,US,2021-11-25 21:09:40,57.79,-152.4072,18.91,58,20,28.77
205,Romny,UA,2021-11-25 21:09:41,50.751,33.4747,30.36,84,6,13.0
206,Puerto Madryn,AR,2021-11-25 21:08:35,-42.7692,-65.0385,68.99,41,2,17.94
207,Malinovoye Ozero,RU,2021-11-25 21:09:41,51.6753,79.7825,14.27,85,98,11.56
208,Jalu,LY,2021-11-25 21:09:42,29.0331,21.5482,71.06,27,2,12.62
209,Anadyr,RU,2021-11-25 21:09:42,64.75,177.4833,-14.3,76,40,8.95
210,Adilpur,PK,2021-11-25 21:08:17,27.937,69.3187,62.49,19,0,7.27
211,Laguna,US,2021-11-25 21:09:43,38.421,-121.4238,69.01,60,1,1.01
212,Takoradi,GH,2021-11-25 21:09:43,4.8845,-1.7554,80.53,84,19,7.96
213,Swellendam,ZA,2021-11-25 21:09:43,-34.0226,20.4417,61.63,75,0,15.64
214,Garachine,PA,2021-11-25 21:09:44,8.0647,-78.3628,79.93,80,100,3.27
215,Nikolskoye,RU,2021-11-25 21:02:17,59.7035,30.7861,42.03,89,100,14.14
216,Lashio,MM,2021-11-25 21:08:06,22.9333,97.75,55.13,98,9,1.66
217,Atar,MR,2021-11-25 21:07:23,20.5169,-13.0499,84.11,24,98,7.05
218,Tilichiki,RU,2021-11-25 21:09:44,60.4667,166.1,5.5,96,100,10.89
219,Palu,ID,2021-11-25 21:09:45,-0.8917,119.8707,75.81,93,100,3.09
